WebRank,University,Degree,Rank,City,State,School,BusinessSchool,EngSchool,ScienceSchool,Analytics,DataScience,YearBegan,DurationMonths,MinDuration,AvgDuration,MaxDuration,CreditHrs,InstateCost,OutofstateCost,AvgCost,StudentAge,StudentGPA,StudentWorkExpMonths,Pctwomen,PctInternational,AvgTOEFL,AppFeeCost.,PlacementRate,AvgStartingSalary,NumDSCources,NumBenefits,NumAppFeatures,NumProgramTypes,NumPostGradStatListed,Rigour
rQS,Massachusetts Institute of Technology,Business Analytics,1,Cambridge,Massachusetts,Management,1,0,0,1,0,2016,12,12,12,12,NA,82368,82368,82368,23,3.9,15,0.4,0.7,100,150,NA,NA,7,5,8,3,2,NA
rQS,University of Texas at Austin,Business Analytics,4,Austin,Texas,Business,1,0,0,1,0,2013,10,10,10,10,36,43000,48000,45500,24,3.66,12,0.43,0.52,NA,NA,0.98,86175,4,6,7,1,2,3.6
rQS,Michigan State University,Business Analytics,12,East Lansing,Michigan,Business,1,0,0,1,0,2013,12,12,12,12,30,36000,39000,37500,26,3.45,NA,NA,NA,NA,NA,1,85200,8,6,6,1,0,2.5
rQS,Purdue University,Business Analytics & Information Management,13,West Lafayette,Indiana,Business,1,0,0,1,0,2016,11,11,11,11,36,24300,34200,29250,25,3.62,33,0.45,NA,NA,75,1,81320,13,3,7,1,2,3.272727273
rQS,Arizona State University,Business Analytics,19,Phoenix,Arizona,Business,1,0,0,1,0,2013,9,9,9,9,30,33608,53288,43448,26,3.42,32,0.46,0.85,99,70,0.769,77601,2,3,4,2,1,3.333333333
rQS,"University of California, Davis",Business Analytics,25,Davis,California,School of Management,1,0,0,1,0,2015,10,10,10,10,44,58916,58916,58916,24,3.5,24,0.66,NA,NA,125,NA,NA,5,6,NA,1,0,4.4
rQS,"University of California, San Diego",Business Analytics,26,San Diego,California,Business,1,0,0,1,0,2016,12,12,12,12,50,58000,58000,58000,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,6,6,2,2,4.166666667
rQS,Emory University,Business Analytics,27,Atlanta,Geogria,Business,1,0,0,1,0,NA,10,NA,NA,NA,33,NA,NA,75651,27,3.55,36,0.41,0.75,NA,150,0.96,NA,1,2,6,1,2,3.3
rQS,Wake Forest University,Business Analytics,28,Winston-Salem,North Carolina,School of Business,1,0,0,1,0,2016,10,10,10,10,37,50082,50082,50082,NA,3.43,NA,0.5,NA,NA,100,1,71055,9,6,6,2,1,3.7
rQS,University of Cincinnati,Business Analytics,30,Cincinnati,Ohio,Business,1,0,0,1,0,2011,12,9,12,12,33,10479,21922,12438,26,3.53,NA,0.35,0.84,106,NA,0.96,NA,5,4,5,2,0,2.75
rQS,George Washington University,Business Analytics,32,Washington,District of Columbia,Business,1,0,0,1,0,2013,16,12,16,24,33,60225,60225,60225,NA,NA,NA,NA,NA,NA,NA,0.91,NA,8,4,7,2,2,2.0625
rQS,University of Miami,Business Analytics,33,Miami,Florida,Business,1,0,0,1,0,2014,10,NA,10,NA,31,60760,60760,60760,23,3.5,12,0.54,NA,NA,NA,NA,NA,8,6,4,1,0,3.1
rQS,University of Texas- Dallas,Analytics,34,Richardson,Texas,Business,1,0,0,1,0,2014,16,12,16,24,36,43000,43000,43000,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,5,2,0,2.25
rQS,Washington University in St. Louis,Business Analytics,39,St. Louis,Missouri,Business,1,0,0,1,0,2013,18,18,18,18,39,87685,87685,87685,23,3.5,NA,0.58,0.98,NA,NA,0.97,80000,9,5,4,2,0,2.166666667
rQS,Case Western Reserve University,Business Analytics,40,Cleveland,Ohio,Business,1,0,0,1,0,2016,11,11,NA,16,33,50096,50096,50096,23,3.5,18,0.56,0.67,NA,NA,NA,NA,6,5,6,1,0,3
rQS,Drexel University,Business Analytics,41,Philadelphia,Pennsylvania,Business,1,0,0,1,0,2012,18,18,18,24,45,51255,51255,51255,NA,NA,NA,NA,NA,NA,NA,NA,81911,4,1,7,2,0,2.5
rQS,Rensselaer Polytechnic Institute,Business Analytics,41,Troy,New York,Business,1,0,0,1,0,2013,24,24,24,24,36,34900,34900,34900,24,3.5,NA,0.56,0.8,NA,NA,NA,73856,5,NA,3,1,1,1.5
rQS,College of William & Mary,Business Analytics,45,Williamsburg,Virginia,Business,1,0,0,1,0,2015,12,12,12,12,33,40106,46878,43492,24,3.49,NA,0.375,NA,NA,100,NA,NA,9,0,7,2,0,2.75
rQS,University of South Florida,Business Analytics,47,Tampa,Florida,Business,1,1,1,1,1,2015,15,15,15,15,33,6410,17324,9838,19,3.11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2.2
rQS,University of Rochester,Business Analytics,50,Rochester,New York,Business,1,0,0,1,0,2014,10,10,14,17,33,65000,65000,65000,23,3.3,12,0.62,NA,106,NA,0.84,68000,12,6,5,1,1,3.3
rUSN,Massachusetts Institute of Technology,Business Analytics,1,Cambridge,Massachusetts,Management,1,0,0,1,0,2016,12,12,12,12,NA,82368,82368,82368,23,3.9,15,0.4,0.7,100,150,NA,NA,7,5,8,3,2,NA
rUSN,Carnegie Mellon University,Master of Information Systems Management (concentration in Business intelligence and Data Analytics),2,Pittsburgh,Pennsylvania,Business,1,0,0,0,0,2011,16,12,16,16,NA,115207,115207,115207,NA,3.55,NA,NA,NA,NA,NA,NA,NA,10,6,5,3,0,NA
rUSN,University of Texas at Austin,Business Analytics,4,Austin,Texas,Business,1,0,0,1,0,2013,10,10,10,10,36,43000,48000,45500,24,3.66,12,0.43,0.52,NA,NA,0.98,86175,4,6,7,1,2,3.6
rUSN,University of Chicago,Analytics,7,Chicago,Illinois,Liberal and Professional studies,0,0,0,1,0,2014,18,18,18,18,36,55680,55680,55680,NA,NA,NA,NA,NA,NA,75,NA,NA,7,NA,8,2,2,2
rUSN,New York University,Business Analytics,8,NA,New York,Science,0,0,1,1,0,2013,12,12,12,12,NA,79000,79000,79000,NA,NA,60,NA,NA,NA,103,NA,NA,14,3,4,1,0,NA
rUSN,Purdue University,Business Analytics & Information Management,9,West Lafayette,Indiana,Business,1,0,0,1,0,2016,11,11,11,11,36,24300,34200,29250,25,3.62,33,0.45,NA,NA,75,1,81320,13,3,7,1,2,3.272727273
rUSN,North Carolina State University,Analytics,11,Raleigh,North Carolina,Business,1,0,0,1,0,2007,10,10,10,10,30,24352,47132,35500,25,3.66,NA,0.37,0.1,NA,NA,NA,NA,15,1,6,1,2,3
rUSN,Arizona State University,Business Analytics,11,Phoenix,Arizona,Business,1,0,0,1,0,2013,9,9,9,9,30,33608,53288,43448,26,3.42,32,0.46,0.85,99,70,0.769,77601,2,3,4,2,1,3.333333333
rMiDS.DS,University of California at Berkely,Data Science,1,Berkeley,California,School of information,0,0,0,0,1,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,NA,110000,NA,NA,5,2,0,NA
rMiDS.DS,Illinois Institute of Technology,Data Science,3,Chicago,Illinois,Science,0,0,1,0,1,2013,24,24,24,24,33,65386,70551,49280,19,3.56,6,NA,NA,NA,NA,NA,NA,5,2,4,2,0,1.375
rMiDS.DS,University of Missouri,Data and Analytics,4,Columbia,Missouri,Informatics Institute,0,0,0,1,0,2016,24,24,24,24,34,17000,17000,17000,23,3,0,NA,NA,80,NA,NA,NA,9,2,4,1,0,1.416666667
rMiDS.DS,Columbia University,Data Science,5,New York City,New York,Institute for Data Science and Engineering,0,1,0,0,1,2015,12,12,12,12,30,63120,63120,63120,NA,NA,NA,NA,NA,NA,85,1,NA,4,NA,7,3,0,2.5
rMiDS.DS,Indiana University,Data Science,6,Bloomington,Indiana,Informatics and Computing,0,0,1,0,1,2015,24,NA,24,60,30,25657,52566,25657,18,2.89,4,NA,NA,NA,NA,NA,NA,6,2,6,2,0,1.25
rMiDS.DS,Northeastern University,Data Science,8,Boston,Massachusetts,Computer and Information Science,0,0,1,0,1,2016,24,24,24,36,32,53300,53300,53300,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,8,2,0,1.333333333
rMiDS.DS,University of Virginia,Data Science,12,Charlottesville,Virginia,Data Science Institute,0,0,0,0,1,2014,11,11,11,11,35,35264,49976,35500,NA,3,0,0.46,NA,90,85,NA,NA,10,5,6,1,2,3.181818182
rMiDS.DS,"University of Wisconsin, Extension",Data Science,13,Madison,Wisconsin,Extension,0,0,0,0,1,2015,12,12,NA,NA,36,27900,27900,27900,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,5,4,3,0,3
rMiDS.DS,Syracuse University,Applied Data Science,15,Syracuse,New York,School of Information Studies,0,0,1,0,1,NA,24,NA,NA,NA,36,35343,35343,35343,NA,NA,NA,NA,NA,NA,75,NA,81753,NA,1,5,3,NA,1.5
rMiDS.DS,Bay Path University,Applied Data Science,17,Longmeadow,Massachusetts,Business,1,0,0,0,1,2012,12,12,NA,24,36,31680,31680,31680,NA,3,NA,NA,NA,NA,NA,NA,NA,11,3,3,3,0,3
rMiDS.DS,Harvard University,Data Science,23,Cambridge,Massachusetts,Engineering,0,1,1,0,1,2018,15,15,15,15,36,73800,73800,73800,20,3.4,6,NA,NA,NA,NA,NA,NA,1,5,7,1,0,2.4
rMiDS.BA,Massachusetts Institute of Technology,Business Analytics,1,Cambridge,Massachusetts,Management,1,0,0,1,0,2016,12,12,12,12,NA,82368,82368,82368,23,3.9,15,0.4,0.7,100,150,NA,NA,7,5,8,3,2,NA
rMiDS.BA,Carnegie Mellon University,Master of Information Systems Management (concentration in Business intelligence and Data Analytics),2,Pittsburgh,Pennsylvania,Business,1,0,0,0,0,2011,16,12,16,16,NA,115207,115207,115207,NA,3.55,NA,NA,NA,NA,NA,NA,NA,10,6,5,3,0,NA
rMiDS.BA,University of Texas at Austin,Business Analytics,3,Austin,Texas,Business,1,0,0,1,0,2013,10,10,10,10,36,43000,48000,45500,24,3.66,12,0.43,0.52,NA,NA,0.98,86175,4,6,7,1,2,3.6
rMiDS.BA,University of Chicago,Analytics,4,Chicago,Illinois,Liberal and Professional studies,0,0,0,1,0,2014,18,18,18,18,36,55680,55680,55680,NA,NA,NA,NA,NA,NA,75,NA,NA,7,NA,8,2,2,2
rMiDS.BA,Columbia University,Applied Analytics,5,New York City,New York,Professional Studies,0,0,0,1,0,2016,24,30,30,36,36,48432,48432,48432,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,5,4,0,1.5
rMiDS.BA,Duke University,Quantitative Management,6,Durham,North Carolina,School of Business,1,0,0,1,0,1920,10,10,10,10,36,69800,69800,69800,23,4.03,6,0.56,0.22,NA,125,NA,80000,10,6,6,2,0,3.6
rMiDS.BA,Purdue University,Business Analytics & Information Management,8,West Lafayette,Indiana,Business,1,0,0,1,0,2016,11,11,11,11,36,24300,34200,29250,25,3.62,33,0.45,NA,NA,75,1,81320,13,3,7,1,2,3.272727273
rMiDS.BA,University of Minnesota,Business Analytics,9,Twin Cities,Minnesota,School of Management,1,0,0,1,0,2014,12,12,12,24,45,45900,45900,60300,24,3.54,NA,NA,NA,NA,75,1,82433,9,3,7,1,2,3.75
rMiDS.BA,New York University,Business Analytics,10,NA,New York,Science,0,0,1,1,0,2013,12,12,12,12,NA,79000,79000,79000,NA,NA,60,NA,NA,NA,103,NA,NA,14,3,4,1,0,NA
rMiDS.BA,Indiana University,Business Analytics,11,Bloomington,Indiana,Business,1,0,0,1,0,2014,15,15,15,36,30,25657,52566,25657,19,3.63,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2
rMiDS.BA,Texas A&M University,Analytics,12,College Station,Texas,Science,0,0,1,1,0,2013,20,20,20,20,36,65000,65000,65000,35,3.52,147,0.22,NA,NA,NA,NA,NA,11,3,6,2,0,1.8
rMiDS.BA,Northwestern University,Analytics,13,Chicago,Illinois,Engineering,0,1,0,1,0,2012,15,15,15,15,36,93720,93720,93720,NA,NA,24,0.48,NA,95,NA,NA,NA,7,5,7,1,1,2.4
rMiDS.BA,"University of California, Davis",Business Analytics,16,Davis,California,School of Management,1,0,0,1,0,2015,10,10,10,10,44,58916,58916,58916,24,3.5,24,0.66,NA,NA,125,NA,NA,5,6,NA,1,0,4.4
rMiDS.BA,Rutgers,Business & Science,17,New Brunswick,New Jersey,Science,0,0,1,0,0,2012,18,18,NA,48,43,43645,54008,48826.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,6,4,0,2.388888889
rMiDS.BA,University of Rochester,Business Analytics,18,Rochester,New York,Business,1,0,0,1,0,2014,10,10,14,17,33,65000,65000,65000,23,3.3,12,0.62,NA,106,NA,0.84,68000,12,6,5,1,1,3.3
rMiDS.BA,Michigan State University,Business Analytics,19,East Lansing,Michigan,Business,1,0,0,1,0,2013,12,12,12,12,30,36000,39000,37500,26,3.45,NA,NA,NA,NA,NA,1,85200,8,6,6,1,0,2.5
rMiDS.BA,Boston University,Applied Business Analytics,20,Boston,Massachusetts,Metropolitan College,0,0,0,1,0,2016,18,18,22,24,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,2,2,6,4,0,2.222222222
rMiDS.BA,University of Iowa,Business Analytics,21,Iowa,Iowa,Business,1,0,0,1,0,2015,16,16,NA,NA,45,30813.75,49713.75,40263.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,6,2,0,2.8125
rMiDS.BA,North Carolina State University,Analytics,22,Raleigh,North Carolina,Business,1,0,0,1,0,2007,10,10,10,10,30,24352,47132,35500,25,3.66,NA,0.37,0.1,NA,NA,NA,NA,15,1,6,1,2,3
rMiDS.BA,Arizona State University,Business Analytics,23,Phoenix,Arizona,Business,1,0,0,1,0,2013,9,9,9,9,30,33608,53288,43448,26,3.42,32,0.46,0.85,99,70,0.769,77601,2,3,4,2,1,3.333333333
rMiDS.BA,University of Connecticut,Business Analytics,24,Srorrs,Connecticut,Business,1,0,0,1,0,2012,12,12,12,12,37,38850,38850,38850,25,3.4,24,0.49,NA,98,75,0.92,82600,9,5,3,3,1,3.083333333
rMiDS.BA,Southern Methodist University,Business Analytics,25,Dallas,Texas,Business,1,0,0,1,0,2014,9,9,9,17,33,77360,77360,77360,NA,NA,NA,NA,NA,NA,NA,0.95,NA,8,NA,3,2,0,3.666666667
rBeMa,Purdue University,Business Analytics & Information Management,12,West Lafayette,Indiana,Business,1,0,0,1,0,2016,11,11,11,11,36,24300,34200,29250,25,3.62,33,0.45,NA,NA,75,1,81320,13,3,7,1,2,3.272727273
rBeMa,University of Texas at Austin,Business Analytics,13,Austin,Texas,Business,1,0,0,1,0,2013,10,10,10,10,36,43000,48000,45500,24,3.66,12,0.43,0.52,NA,NA,0.98,86175,4,6,7,1,2,3.6
rBeMa,University of Chicago,Analytics,23,Chicago,Illinois,Liberal and Professional studies,0,0,0,1,0,2014,18,18,18,18,36,55680,55680,55680,NA,NA,NA,NA,NA,NA,75,NA,NA,7,NA,8,2,2,2
rBeMa,Arizona State University,Business Analytics,30,Phoenix,Arizona,Business,1,0,0,1,0,2013,9,9,9,9,30,33608,53288,43448,26,3.42,32,0.46,0.85,99,70,0.769,77601,2,3,4,2,1,3.333333333
rBeMa,DePaul University,Data Science,34,Chicago,Illinois,Computing,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,1,2,2,NA
rBeMa,College of William & Mary,Business Analytics,46,Williamsburg,Virginia,Business,1,0,0,1,0,2015,12,12,12,12,33,40106,46878,43492,24,3.49,NA,0.375,NA,NA,100,NA,NA,9,0,7,2,0,2.75
