"University","City","State","School","BusinessSchool","EngSchool","ScienceSchool","Degree","Analytics","DataScience","YearBegan","DurationMonths","MinDuration","AvgDuration","MaxDuration","CreditHrs","InstateCost","OutofstateCost","AvgCost","StudentAge","StudentGPA","StudentWorkExpMonths","Pctwomen","PctInternational","AvgTOEFL","AppFeeCost.","PlacementRate","AvgStartingSalary","NumDSCources","NumBenefits","NumAppFeatures","NumProgramTypes","NumPostGradStatListed","Rigour"
"University of South Florida","Tampa","Florida","Business",1,1,1,"Business Analytics",1,1,2015,15,15,15,15,33,6410,17324,9838,19,3.11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2.2
"Illinois Institute of Technology","Chicago","Illinois","Science",0,0,1,"Data Science",0,1,2013,24,24,24,24,33,65386,70551,49280,19,3.56,6,NA,NA,NA,NA,NA,NA,5,2,4,2,0,1.375
"Xavier University","Chicago","Illinois","Business",NA,NA,NA,"Business",1,1,2014,24,24,24,24,30,40450,40450,31000,20,2.95,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1.25
"Indiana University","Bloomington","Indiana","Business",1,0,0,"Business Analytics",1,0,2014,15,15,15,36,30,25657,52566,25657,19,3.63,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2
"Indiana University","Bloomington","Indiana","Informatics and Computing",0,0,1,"Data Science",0,1,2015,24,NA,24,60,30,25657,52566,25657,18,2.89,4,NA,NA,NA,NA,NA,NA,6,2,6,2,0,1.25
"Iowa State University","Ames","Iowa","Business",1,0,0,"Business Analytics",1,0,2015,21,21,21,21,30,9320,24508,15000,21,2.87,2,NA,NA,NA,60,NA,NA,3,1,5,2,0,1.42857142857143
"Harvard University","Cambridge","Massachusetts","School of Public Health",0,0,0,"Health Data Science",0,1,2017,16,16,16,16,60,73800,73800,73800,20,3.5,3,NA,NA,NA,NA,NA,NA,9,6,7,2,1,3.75
"Harvard University","Cambridge","Massachusetts","Engineering",0,1,1,"Data Science",0,1,2018,15,15,15,15,36,73800,73800,73800,20,3.4,6,NA,NA,NA,NA,NA,NA,1,5,7,1,0,2.4
"Kent State University","Kent","Ohio","Business and Administration",1,0,0,"Business Analytics",1,0,2016,12,12,12,12,30,10602,19478,18000,20,2.54,3,NA,NA,NA,NA,NA,NA,4,2,7,1,0,2.5
"University of Dayton","Dayton","Ohio","Business",1,0,NA,"Business Analytics",1,1,2013,16,15,15,15,33,44100,44100,31000,20,3.02,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2.0625
"Saint Marys College of California","Moraga","California","Economics and Business Administration",1,0,0,"Business Analytics",1,0,2015,NA,12,NA,18,33,46543,46543,49188,35,NA,NA,0.43,NA,NA,50,NA,NA,8,NA,4,2,0,NA
"Saint Louis University","St. Louis","Missouri","Business",1,0,0,"Applied Analytics",1,0,2014,NA,NA,NA,NA,36,NA,NA,45424,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,1,0,NA
"Southern New Hampshire University","Manchester","New Hampshire","Science",0,0,1,"Data Analytics",1,0,2013,NA,15,NA,NA,36,22572,22572,22572,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,1,0,NA
"Saint Peters University","Jersey City","New Jersey","Data Science",0,0,0,"Data Science",0,1,2014,18,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,4,2,0,2
"New Mexico State University","Las Cruces","New Mexico","Arts and Sciences",0,0,1,"Computational Data Analytics",1,0,2019,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,4,0,NA
"Franklin University","Columbus","Ohio","Graduate School",0,0,0,"Business Analytics",1,0,NA,15,15,NA,NA,33,NA,NA,22110,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,3,1,2.2
"Franklin University","Columbus","Ohio","Graduate School",0,0,0,"Data Analytics",1,0,NA,19,19,NA,NA,33,NA,NA,22110,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,3,1,1.73684210526316
"Slippery Rock University","Butler County","Pennsylvania","Health, Environment and Science",0,0,0,"Data Analytics",1,0,2015,10,10,10,24,33,41445,60613,41445,NA,NA,NA,NA,NA,NA,25,NA,NA,3,3,1,3,0,3.3
"South Dakota State University","Brookings","South Dakota","Math & Statistics",0,0,1,"Data Science",0,1,2014,12,12,NA,NA,30,NA,12786,22108.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,0,2.5
"Southern Methodist University","Dallas","Texas","Humanities & Sciences",0,0,1,"Applied Statistics and Data Analytics",1,0,2013,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,0,NA
"University of California Irvine","Irvine","California","Business",1,0,0,"Business Analytics",1,0,NA,11,11,11,11,52,55000,55000,55000,25,3.46,35,0.47,0.387,103,150,0.9,NA,10,4,6,1,0,4.72727272727273
"University of Denver","Denver","Colorado","Business",1,0,0,"Business Analytics",1,0,NA,12,12,12,12,58,61944,61944,61944,28,3.33,48,0.57,0.33,NA,100,NA,NA,9,4,4,3,0,4.83333333333333
"Brandeis University","Waltham","Massachusetts","Professional Studies",0,0,0,"Strategic Analytics",1,0,2014,18,18,NA,NA,30,35350,35350,35350,NA,NA,NA,0.4,NA,NA,NA,NA,NA,6,1,NA,2,1,1.66666666666667
