"University","City","State","School","Degree","BusinessSchool","EngSchool","ScienceSchool","Analytics","DataScience","YearBegan","DurationMonths","MinDuration","AvgDuration","MaxDuration","CreditHrs","InstateCost","OutofstateCost","AvgCost","StudentAge","StudentGPA","StudentWorkExpMonths","Pctwomen","PctInternational","AvgTOEFL","AppFeeCost.","PlacementRate","AvgStartingSalary","NumDSCources","NumBenefits","NumAppFeatures","NumProgramTypes","NumPostGradStatListed","Rigour"
"University of South Florida","Tampa","Florida","Business","Business Analytics",1,1,1,1,1,2015,15,15,15,15,33,6410,17324,9838,19,3.11,1,0.56,0.7,90,75,1,80000,9,4,6,2,0,2.2
"Illinois Institute of Technology","Chicago","Illinois","Science","Data Science",0,0,1,0,1,2013,24,24,24,24,33,65386,70551,49280,19,3.56,6,0.3,0.4,80,75,1,80000,5,2,4,2,0,1.375
"Xavier University","Chicago","Illinois","Business","Business",0,0,0,1,1,2014,24,24,24,24,30,40450,40450,31000,20,2.95,1,0.375,0.85,90,50,1,62879,5,3,3,3,0,1.25
"Indiana University","Bloomington","Indiana","Business","Business Analytics",1,0,0,1,0,2014,15,15,15,36,30,25657,52566,25657,19,3.63,1,0.45,0.73,89,50,1,60000,3,2,6,3,0,2
"Indiana University","Bloomington","Indiana","Informatics and Computing","Data Science",0,0,1,0,1,2015,24,24,24,60,30,25657,52566,25657,18,2.89,4,0.22,0.73,90,75,1,69162,6,2,6,2,0,1.25
"Iowa State University","Ames","Iowa","Business","Business Analytics",1,0,0,1,0,2015,21,21,21,21,30,9320,24508,15000,21,2.87,2,0.3,0.33,80,60,1,68153,3,1,5,2,0,1.42857142857143
"Harvard University","Cambridge","Massachusetts","School of Public Health","Health Data Science",0,0,0,0,1,2017,16,16,16,16,60,73800,73800,73800,20,3.5,3,0.5,0.4,90,75,1,60000,9,6,7,2,1,3.75
"Harvard University","Cambridge","Massachusetts","Engineering","Data Science",0,1,1,0,1,2018,15,15,15,15,36,73800,73800,73800,20,3.4,6,0.48,0.31,90,100,1,68000,1,5,7,1,0,2.4
"Kent State University","Kent","Ohio","Business and Administration","Business Analytics",1,0,0,1,0,2016,12,12,12,12,30,10602,19478,18000,20,2.54,3,0.56,0.75,90,0,1,88000,4,2,7,1,0,2.5
"University of Dayton","Dayton","Ohio","Business","Business Analytics",1,0,0,1,1,2013,16,15,15,15,33,44100,44100,31000,20,3.02,6,0.48,0.73,80,55,0.92,60000,7,6,6,2,0,2.0625
