Rank,PredRank,University,City,State,School,BusinessSchool,EngSchool,ScienceSchool,Degree,Analytics,DataScience,YearBegan,DurationMonths,MinDuration,AvgDuration,MaxDuration,CreditHrs,InstateCost,OutofstateCost,AvgCost,StudentAge,StudentGPA,StudentWorkExpMonths,Pctwomen,PctInternational,AvgTOEFL,AppFeeCost.,PlacementRate,AvgStartingSalary,NumDSCources,NumBenefits,NumAppFeatures,NumProgramTypes,NumPostGradStatListed,Rigour
1,2.346165112,University of California at Berkely,Berkeley,California,School of information,0,0,0,Data Science,0,1,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,NA,110000,NA,NA,5,2,0,NA
2,2.62667603,New York University,NA,New York,Science,0,0,1,Data Science,0,1,2013,24,24,24,24,36,NA,NA,NA,NA,3.69,NA,NA,NA,NA,80,NA,NA,5,3,7,2,2,1.5
3,2.822907786,Illinois Institute of Technology,Chicago,Illinois,Science,0,0,1,Data Science,0,1,2013,24,24,24,24,33,65386,70551,49280,19,3.56,6,NA,NA,NA,NA,NA,NA,5,2,4,2,0,1.375
4,3.048993664,George Washington University,Washington,District of Columbia,Arts and Science,0,0,1,Data Science,0,1,2015,12,12,12,12,30,54750,54750,54750,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,5,1,0,2.5
5,3.176684336,Northeastern University,Boston,Massachusetts,Computer and Information Science,0,0,1,Data Science,0,1,2016,24,24,24,36,32,53300,53300,53300,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,8,2,0,1.333333333
6,3.449693882,University of San Francisco,San Francisco,California,Arts and Science,0,0,1,Data Science,0,1,2012,12,12,12,12,35,50050,50050,50050,24,3.63,24,0.45,0.6,NA,NA,0.95,120000,10,2,6,1,2,2.916666667
7,3.928263366,Western Governors University,Salt Lake City,Utah,College of Information Technology,0,0,0,Data Analytics,1,0,2016,18,18,18,36,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,5,2,1,4,0,1.833333333
8,4.094733069,South Dakota State University,Brookings,South Dakota,Math & Statistics,0,0,1,Data Science,0,1,2014,12,12,NA,NA,30,NA,12786,22108.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,0,2.5
9,4.131063321,University of Virginia,Charlottesville,Virginia,Data Science Institute,0,0,0,Data Science,0,1,2014,11,11,11,11,35,35264,49976,35500,NA,3,0,0.46,NA,90,85,NA,NA,10,5,6,1,2,3.181818182
10,4.15171185,Rutgers,New Brunswick,New Jersey,Science,0,0,1,Business & Science,0,0,2012,18,18,NA,48,43,43645,54008,48826.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,6,4,0,2.388888889
11,4.490066801,Indiana University,Bloomington,Indiana,Informatics and Computing,0,0,1,Data Science,0,1,2015,24,NA,24,60,30,25657,52566,25657,18,2.89,4,NA,NA,NA,NA,NA,NA,6,2,6,2,0,1.25
12,4.490494602,Seton Hall University,South Orange,New Jersey,Arts and Sciences,0,0,1,Data Science,0,1,2019,16,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108000,5,NA,6,2,NA,1.875
13,4.614801687,Columbia University,New York City,New York,Professional Studies,0,0,0,Applied Analytics,1,0,2016,24,30,30,36,36,48432,48432,48432,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,5,4,0,1.5
14,4.80835253,New York University,NA,New York,Science,0,0,1,Business Analytics,1,0,2013,12,12,12,12,NA,79000,79000,79000,NA,NA,60,NA,NA,NA,103,NA,NA,14,3,4,1,0,NA
15,4.925124659,Mercyhurst University,Erie,Pennsylvania,Intelligence Studies and Applied Sciences,0,0,0,Data Science,0,1,2015,21,21,21,21,36,37000,37000,31500,24,3.2,NA,NA,NA,90,0,NA,NA,4,1,2,1,0,1.714285714
